Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
Monster Hunter World Iceborne,Mixed,"9 Jan, 2020","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,2999,None,['Action'],['windows'],['8 GB'],['48 GB'],[],None,12510,10142,2368,12510,5922,6588
RESIDENT EVIL 3,Mostly Positive,"2 Apr, 2020","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,3499,None,['Action'],['windows'],['8 GB'],['45 GB'],[],None,24602,14645,9957,24602,18030,6572
Borderlands 3,Very Positive,"13 Mar, 2020",Gearbox Software,2K,Single-player,violence/bad_language,None,None,None,2990,None,"['Action', 'RPG']",['windows'],['6 GB'],['75 GB'],[],None,26162,23023,3139,26162,21295,4867
MONSTER HUNTER WORLD,Very Positive,"9 Aug, 2018","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,2497,None,['Action'],['windows'],['8 GB'],['48 GB'],[],None,234108,141483,92625,234108,191030,43078
DOOM Eternal,Very Positive,"20 Mar, 2020",id Software,Bethesda Softworks,Single-player,violence/bad_language,None,None,None,3999,None,['Action'],['windows'],['8 GB'],['50 GB'],[],None,44995,40961,4034,44995,41350,3645
Grand Theft Auto V,Mostly Positive,"14 Apr, 2015",Rockstar North,Rockstar Games,Single-player,violence/bad_language,None,None,None,2099,Select a purchase option,"['Action', 'Adventure']",['windows'],['4 GB'],['72 GB'],[],None,819112,720791,98321,819112,649457,169655
CounterStrike Global Offensive,Very Positive,"21 Aug, 2012",Valve,Valve,Steam Achievements,None,None,None,None,Free to Play,None,"['Action', 'Free to Play']","['linux', 'windows', 'mac']","['2 GB', '2 GB', '4 GB']","['15 GB', '15 GB', '15 GB']",[],None,4192364,2681749,1510615,4192364,3677106,515258
Mount  Blade II Bannerlord,Very Positive,"30 Mar, 2020",TaleWorlds Entertainment,TaleWorlds Entertainment,Single-player,None,None,None,None,2499,None,"['Action', 'RPG', 'Simulation', 'Strategy', 'Early Access']",['windows'],['6 GB'],['60 GB'],[],None,89019,70843,18176,89019,78321,10698
HalfLife Alyx,Overwhelmingly Positive,"23 Mar, 2020",Valve,Valve,Single-player,None,None,None,None,1299,None,"['Action', 'Adventure']",['windows'],[' 12 GB RAM'],[],[],VR Support,27144,21745,5399,27144,26783,361
Red Dead Redemption 2,Mostly Positive,"5 Dec, 2019",Rockstar Games,Rockstar Games,Single-player,Strong Language,None,None,None,3199,None,"['Action', 'Adventure']",['windows'],['8 GB'],['150 GB'],[],None,74076,66777,7299,74076,54351,19725
